timestamp,z
1759998191.8796184,-0.035
1759998191.8796184,0.837
1759998191.8796184,0.758
1759998191.8796184,0.161
1759998191.92936,-0.039
1759998191.92936,0.833
1759998191.92936,0.755
1759998191.92936,0.188
1759998191.9794528,-0.04
1759998191.9794528,0.826
1759998191.9794528,0.75
1759998191.9794528,0.225
1759998192.0291698,-0.042
1759998192.0291698,0.836
1759998192.0291698,0.764
1759998192.0291698,0.187
1759998192.0793302,-0.042
1759998192.0793302,0.826
1759998192.0793302,0.743
1759998192.0793302,0.176
1759998192.1304784,-0.039
1759998192.1304784,0.834
1759998192.1304784,0.755
1759998192.1304784,0.201
1759998192.180035,-0.038
1759998192.180035,0.831
1759998192.180035,0.762
1759998192.180035,0.183
1759998192.2301776,-0.038
1759998192.2301776,0.839
1759998192.2301776,0.764
1759998192.2301776,0.171
1759998192.2805004,-0.041
1759998192.2805004,0.836
1759998192.2805004,0.762
1759998192.2805004,0.187
1759998192.3302116,-0.039
1759998192.3302116,0.832
1759998192.3302116,0.761
1759998192.3302116,0.183
1759998192.3792043,-0.04
1759998192.3792043,0.845
1759998192.3792043,0.775
1759998192.3792043,0.184
1759998192.4295685,-0.039
1759998192.4295685,0.848
1759998192.4295685,0.776
1759998192.4295685,0.199
1759998192.479185,-0.042
1759998192.479185,0.852
1759998192.479185,0.778
1759998192.479185,0.155
1759998192.5291421,-0.038
1759998192.5291421,0.841
1759998192.5291421,0.768
1759998192.5291421,0.15
1759998192.5791097,-0.042
1759998192.5791097,0.852
1759998192.5791097,0.771
1759998192.5791097,0.234
1759998192.6290464,-0.046
1759998192.6290464,0.842
1759998192.6290464,0.77
1759998192.6290464,0.196
1759998192.6788886,-0.041
1759998192.6788886,0.851
1759998192.6788886,0.782
1759998192.6788886,0.159
1759998192.7290046,-0.041
1759998192.7290046,0.85
1759998192.7290046,0.777
1759998192.7290046,0.211
1759998192.7794485,-0.039
1759998192.7794485,0.844
1759998192.7794485,0.771
1759998192.7794485,0.204
1759998192.8295047,-0.037
1759998192.8295047,0.839
1759998192.8295047,0.763
1759998192.8295047,0.204
1759998192.8792663,-0.039
1759998192.8792663,0.838
1759998192.8792663,0.768
1759998192.8792663,0.175
1759998192.928988,-0.036
1759998192.928988,0.841
1759998192.928988,0.773
1759998192.928988,0.191
1759998192.9785638,-0.039
1759998192.9785638,0.859
1759998192.9785638,0.783
1759998192.9785638,0.209
1759998193.0287588,-0.03
1759998193.0287588,0.857
1759998193.0287588,0.783
1759998193.0287588,0.175
1759998193.0790827,-0.037
1759998193.0790827,0.836
1759998193.0790827,0.765
1759998193.0790827,0.134
1759998193.12918,-0.034
1759998193.12918,0.838
1759998193.12918,0.766
1759998193.12918,0.228
1759998193.1790316,-0.033
1759998193.1790316,0.86
1759998193.1790316,0.788
1759998193.1790316,0.181
1759998193.2287197,-0.032
1759998193.2287197,0.85
1759998193.2287197,0.773
1759998193.2287197,0.193
1759998193.2788782,-0.033
1759998193.2788782,0.84
1759998193.2788782,0.765
1759998193.2788782,0.178
1759998193.3294742,-0.035
1759998193.3294742,0.829
1759998193.3294742,0.753
1759998193.3294742,0.227
1759998193.383774,-0.039
1759998193.383774,0.83
1759998193.383774,0.758
1759998193.383774,0.191
1759998193.4289017,-0.042
1759998193.4289017,0.832
1759998193.4289017,0.753
1759998193.4289017,0.222
1759998193.4788854,-0.039
1759998193.4788854,0.815
1759998193.4788854,0.739
1759998193.4788854,0.19
1759998193.529215,-0.041
1759998193.529215,0.811
1759998193.529215,0.743
1759998193.529215,0.138
1759998193.5792496,-0.036
1759998193.5792496,0.805
1759998193.5792496,0.736
1759998193.5792496,0.146
1759998193.6285203,-0.039
1759998193.6285203,0.807
1759998193.6285203,0.74
1759998193.6285203,0.171
1759998193.678942,-0.04
1759998193.678942,0.808
1759998193.678942,0.747
1759998193.678942,0.164
1759998193.7282991,-0.04
1759998193.7282991,0.814
1759998193.7282991,0.747
1759998193.7282991,0.171
1759998193.7790585,-0.035
1759998193.7790585,0.823
1759998193.7790585,0.746
1759998193.7790585,0.183
1759998193.8290427,-0.035
1759998193.8290427,0.818
1759998193.8290427,0.74
1759998193.8290427,0.231
1759998193.8794868,-0.039
1759998193.8794868,0.827
1759998193.8794868,0.75
1759998193.8794868,0.178
1759998193.9298482,-0.042
1759998193.9298482,0.817
1759998193.9298482,0.739
1759998193.9298482,0.121
1759998193.9795887,-0.04
1759998193.9795887,0.836
1759998193.9795887,0.762
1759998193.9795887,0.123
1759998194.0293293,-0.036
1759998194.0293293,0.834
1759998194.0293293,0.766
1759998194.0293293,0.191
1759998194.0793228,-0.037
1759998194.0793228,0.84
1759998194.0793228,0.774
1759998194.0793228,0.114
1759998194.129692,-0.034
1759998194.129692,0.81
1759998194.129692,0.734
1759998194.129692,0.098
1759998194.1793618,-0.038
1759998194.1793618,0.802
1759998194.1793618,0.728
1759998194.1793618,0.176
1759998194.2290752,-0.034
1759998194.2290752,0.82
1759998194.2290752,0.751
1759998194.2290752,0.167
1759998194.2793257,-0.042
1759998194.2793257,0.811
1759998194.2793257,0.742
1759998194.2793257,0.156
1759998194.3288476,-0.042
1759998194.3288476,0.813
1759998194.3288476,0.733
1759998194.3288476,0.226
1759998194.3785357,-0.039
1759998194.3785357,0.828
1759998194.3785357,0.756
1759998194.3785357,0.128
1759998194.4292228,-0.035
1759998194.4292228,0.838
1759998194.4292228,0.761
1759998194.4292228,0.177
1759998194.4794576,-0.04
1759998194.4794576,0.837
1759998194.4794576,0.75
1759998194.4794576,0.192
1759998194.529035,-0.037
1759998194.529035,0.816
1759998194.529035,0.736
1759998194.529035,0.201
1759998194.5786254,-0.041
1759998194.5786254,0.818
1759998194.5786254,0.739
1759998194.5786254,0.089
1759998194.6285043,-0.04
1759998194.6285043,0.82
1759998194.6285043,0.756
1759998194.6285043,0.147
1759998194.6785553,-0.041
1759998194.6785553,0.832
1759998194.6785553,0.766
1759998194.6785553,0.124
1759998194.7288606,-0.037
1759998194.7288606,0.85
1759998194.7288606,0.783
1759998194.7288606,0.133
1759998194.7788427,-0.046
1759998194.7788427,0.821
1759998194.7788427,0.731
1759998194.7788427,0.15
1759998194.8303225,-0.041
1759998194.8303225,0.802
1759998194.8303225,0.713
1759998194.8303225,0.139
1759998194.879792,-0.04
1759998194.879792,0.816
1759998194.879792,0.715
1759998194.879792,0.158
1759998194.9289634,-0.038
1759998194.9289634,0.851
1759998194.9289634,0.123
1759998194.979188,-0.045
1759998194.979188,0.817
1759998194.979188,0.717
1759998194.979188,0.179
1759998195.028891,-0.04
1759998195.028891,0.852
1759998195.028891,0.782
1759998195.028891,0.141
1759998195.0791981,-0.039
1759998195.0791981,0.826
1759998195.0791981,0.768
1759998195.0791981,0.167
1759998195.1296728,-0.04
1759998195.1296728,0.852
1759998195.1296728,0.787
1759998195.1296728,0.193
1759998195.1798055,-0.045
1759998195.1798055,0.832
1759998195.1798055,0.748
1759998195.1798055,0.106
1759998195.2299838,-0.039
1759998195.2299838,0.847
1759998195.2299838,0.769
1759998195.2299838,0.182
1759998195.2796082,-0.044
1759998195.2796082,0.829
1759998195.2796082,0.742
1759998195.2796082,0.163
1759998195.3293083,-0.039
1759998195.3293083,0.84
1759998195.3293083,0.747
1759998195.3293083,0.155
1759998195.3788836,-0.046
1759998195.3788836,0.833
1759998195.3788836,0.75
1759998195.3788836,0.182
1759998195.4291673,-0.042
1759998195.4291673,0.831
1759998195.4291673,0.745
1759998195.4291673,0.17
1759998195.479222,-0.042
1759998195.479222,0.826
1759998195.479222,0.742
1759998195.479222,0.2
1759998195.5294816,-0.04
1759998195.5294816,0.856
1759998195.5294816,0.774
1759998195.5294816,0.17
