timestamp,x
1759998196.328617,16.594
1759998196.3781695,5.774
1759998196.3781695,9.628
1759998196.3781695,9.601
1759998196.3781695,16.594
1759998196.4285014,5.774
1759998196.4285014,9.628
1759998196.4285014,9.601
1759998196.4285014,16.594
1759998196.4780629,5.775
1759998196.4780629,9.626
1759998196.4780629,9.598
1759998196.4780629,16.593
1759998196.5279698,5.774
1759998196.5279698,9.628
1759998196.5279698,9.6
1759998196.5279698,16.593
1759998196.5780969,5.773
1759998196.5780969,9.626
1759998196.5780969,9.598
1759998196.5780969,16.594
1759998196.6282887,5.774
1759998196.6282887,9.626
1759998196.6282887,9.598
1759998196.6282887,16.594
1759998196.6781414,5.774
1759998196.6781414,9.625
1759998196.6781414,9.598
1759998196.6781414,16.593
1759998196.7281508,5.774
1759998196.7281508,9.626
1759998196.7281508,9.599
1759998196.7281508,16.593
1759998196.778931,5.775
1759998196.778931,9.626
1759998196.778931,9.598
1759998196.778931,16.592
1759998196.8296301,5.774
1759998196.8296301,9.626
1759998196.8296301,9.598
1759998196.8296301,16.593
1759998196.8792028,5.775
1759998196.8792028,9.625
1759998196.8792028,9.597
1759998196.8792028,16.593
1759998196.9295378,5.775
1759998196.9295378,9.624
1759998196.9295378,9.596
1759998196.9295378,16.592
1759998196.9799707,5.774
1759998196.9799707,9.625
1759998196.9799707,9.596
1759998196.9799707,16.593
1759998197.0296242,5.774
1759998197.0296242,9.625
1759998197.0296242,9.597
1759998197.0296242,16.594
1759998197.0791745,5.774
1759998197.0791745,9.626
1759998197.0791745,9.598
1759998197.0791745,16.594
1759998197.1294086,5.774
1759998197.1294086,9.626
1759998197.1294086,9.599
1759998197.1294086,16.594
1759998197.1791062,5.775
1759998197.1791062,9.625
1759998197.1791062,9.596
1759998197.1791062,16.594
1759998197.2289917,5.775
1759998197.2289917,9.625
1759998197.2289917,9.597
1759998197.2289917,16.595
1759998197.278512,5.777
1759998197.278512,9.627
1759998197.278512,9.599
1759998197.278512,16.595
1759998197.328562,5.779
1759998197.328562,9.627
1759998197.328562,9.6
1759998197.328562,16.592
1759998197.3784854,5.78
1759998197.3784854,9.628
1759998197.3784854,9.6
1759998197.3784854,16.593
1759998197.4281309,5.781
1759998197.4281309,9.627
1759998197.4281309,9.599
1759998197.4281309,16.594
1759998197.4800062,5.779
1759998197.4800062,9.627
1759998197.4800062,9.599
1759998197.4800062,16.595
1759998197.5283782,5.777
1759998197.5283782,9.628
1759998197.5283782,9.601
1759998197.5283782,16.594
1759998197.5780478,5.774
1759998197.5780478,9.629
1759998197.5780478,9.602
1759998197.5780478,16.594
1759998197.6281307,5.773
1759998197.6281307,9.628
1759998197.6281307,9.602
1759998197.6281307,16.594
1759998197.6780372,5.772
1759998197.6780372,9.626
1759998197.6780372,9.6
1759998197.6780372,16.593
1759998197.7278907,5.77
1759998197.7278907,9.628
1759998197.7278907,9.601
1759998197.7278907,16.595
1759998197.778172,5.769
1759998197.778172,9.627
1759998197.778172,9.602
1759998197.778172,16.595
1759998197.8280227,5.769
1759998197.8280227,9.626
1759998197.8280227,9.601
1759998197.8280227,16.595
1759998197.8779416,5.767
1759998197.8779416,9.627
1759998197.8779416,9.601
1759998197.8779416,16.593
1759998197.9281685,5.768
1759998197.9281685,9.624
1759998197.9281685,9.599
1759998197.9281685,16.594
1759998197.9781327,5.774
1759998197.9781327,9.624
1759998197.9781327,9.598
1759998197.9781327,16.593
1759998198.0280006,5.776
1759998198.0280006,9.625
1759998198.0280006,9.598
1759998198.0280006,16.591
1759998198.0780594,5.778
1759998198.0780594,9.623
1759998198.0780594,9.596
1759998198.0780594,16.594
1759998198.128304,5.779
1759998198.128304,9.626
1759998198.128304,9.599
1759998198.128304,16.594
1759998198.1783047,5.778
1759998198.1783047,9.625
1759998198.1783047,9.597
1759998198.1783047,16.594
1759998198.2283213,5.781
1759998198.2283213,9.624
1759998198.2283213,9.595
1759998198.2283213,16.593
1759998198.2783835,5.778
1759998198.2783835,9.63
1759998198.2783835,9.601
1759998198.2783835,16.593
1759998198.2783835,0.861
1759998198.3282092,5.775
1759998198.3282092,9.62
1759998198.3282092,9.593
1759998198.3282092,16.593
1759998198.3781705,16.594
1759998198.4281633,5.771
1759998198.4281633,16.591
1759998198.4780638,5.736
1759998198.4780638,9.642
1759998198.4780638,9.61
1759998198.4780638,16.596
1759998198.4780638,0.921
1759998198.5275035,16.559
1759998198.5275035,1.028
1759998198.5275035,0.967
1759998198.5275035,9.654
1759998198.5275035,9.617
1759998198.5780766,16.651
1759998198.5780766,0.997
1759998198.627553,8.463
1759998198.627553,1.136
1759998198.6771696,1.169
1759998198.7774498,1.206
1759998198.7774498,1.234
1759998198.7774498,1.241
1759998198.8764615,1.486
1759998198.8764615,1.293
1759998198.8764615,1.296
1759998198.9762537,1.477
1759998199.0766544,1.626
1759998199.0766544,1.562
1759998199.1268532,1.699
1759998199.1767316,1.622
1759998199.2762127,1.742
1759998199.2762127,1.741
1759998199.426487,1.945
1759998199.5273192,1.961
1759998199.6771154,2.171
1759998199.7271626,5.783
1759998199.7271626,2.159
1759998199.7271626,2.149
1759998199.776704,5.786
1759998199.776704,2.266
1759998199.8267474,2.353
1759998199.977017,2.491
1759998199.977017,2.487
1759998200.177352,2.698
1759998200.177352,2.697
1759998200.2267082,2.798
1759998200.3276896,22.048
1759998200.3276896,2.92
1759998200.4769738,3.066
1759998200.6280465,5.761
1759998200.6280465,3.243
1759998200.6280465,3.243
1759998200.6776617,11.677
1759998200.7280478,5.761
1759998200.7773614,9.66
1759998200.8272166,5.769
1759998200.876933,9.642
1759998200.9273355,5.766
1759998200.9273355,9.618
1759998200.977459,5.757
1759998200.977459,9.6
1759998200.977459,9.574
1759998201.0270035,5.766
1759998201.0270035,9.618
1759998201.0772142,5.778
1759998201.0772142,9.627
1759998201.0772142,9.597
1759998201.0772142,22.622
1759998201.0772142,3.791
1759998201.127374,8.444
1759998201.127374,9.628
1759998201.127374,9.598
1759998201.177813,5.773
1759998201.177813,9.617
1759998201.177813,9.59
1759998201.177813,22.077
1759998201.177813,3.907
1759998201.227725,5.765
1759998201.227725,9.613
1759998201.227725,3.984
1759998201.2772353,5.806
1759998201.2772353,9.612
1759998201.2772353,9.588
1759998201.2772353,3.995
1759998201.3274837,5.761
1759998201.3274837,9.622
1759998201.3274837,9.592
1759998201.3774235,5.798
1759998201.3774235,9.636
1759998201.3774235,9.608
1759998201.3774235,20.976
1759998201.4273722,5.748
1759998201.4273722,9.639
1759998201.4273722,9.61
1759998201.4776242,5.76
1759998201.4776242,9.629
1759998201.4776242,9.601
1759998201.4776242,13.842
1759998201.4776242,4.226
1759998201.5273607,5.78
1759998201.5273607,9.625
1759998201.5273607,9.595
1759998201.5273607,20.961
1759998201.5273607,4.333
1759998201.5774608,5.787
1759998201.5774608,8.428
1759998201.5774608,9.619
1759998201.5774608,9.591
1759998201.5774608,4.369
1759998201.6275065,5.782
1759998201.6275065,9.621
1759998201.6275065,9.592
1759998201.6275065,20.974
1759998201.6772838,5.779
1759998201.6772838,9.619
1759998201.6772838,9.591
1759998201.6772838,4.464
1759998201.727377,5.772
1759998201.727377,8.434
1759998201.727377,9.622
1759998201.727377,9.594
1759998201.727377,4.56
1759998201.7776494,5.774
1759998201.7776494,9.63
1759998201.7776494,9.601
1759998201.7776494,4.588
1759998201.8276327,5.785
1759998201.8276327,9.635
1759998201.8276327,9.606
1759998201.8276327,20.939
1759998201.8276327,21.971
1759998201.8276327,4.658
1759998201.8776326,5.779
1759998201.8776326,4.7
1759998201.928217,5.783
1759998201.928217,9.615
1759998201.928217,9.588
1759998201.977781,5.771
1759998201.977781,9.628
1759998201.977781,4.787
1759998202.0277295,5.765
1759998202.0277295,9.623
1759998202.0277295,9.593
1759998202.0277295,13.781
1759998202.0777385,5.77
1759998202.0777385,9.626
1759998202.0777385,9.601
1759998202.1281266,5.77
1759998202.1281266,9.626
1759998202.1281266,9.598
1759998202.178139,5.774
1759998202.178139,9.619
1759998202.178139,9.591
1759998202.228143,5.772
1759998202.228143,9.631
1759998202.228143,9.602
1759998202.2778563,5.771
1759998202.2778563,9.635
1759998202.2778563,9.606
1759998202.3278694,5.771
1759998202.3278694,9.633
1759998202.3278694,9.605
1759998202.3278694,16.588
1759998202.3278694,5.283
1759998202.3779845,5.77
1759998202.3779845,9.626
1759998202.3779845,9.598
1759998202.3779845,16.591
1759998202.4280326,5.77
1759998202.4280326,9.625
1759998202.4280326,16.581
1759998202.4280326,5.412
1759998202.4777617,5.767
1759998202.4777617,8.427
1759998202.4777617,9.627
1759998202.4777617,9.599
1759998202.4777617,16.586
1759998202.5277555,5.769
1759998202.5277555,9.625
1759998202.5277555,9.599
1759998202.5277555,16.596
1759998202.578016,5.769
1759998202.578016,9.622
1759998202.578016,9.596
1759998202.578016,16.591
1759998202.578016,5.608
1759998202.6291487,5.77
1759998202.6291487,8.432
1759998202.6291487,9.625
1759998202.6291487,9.597
1759998202.6291487,16.595
1759998202.6795945,5.769
1759998202.6795945,9.623
1759998202.6795945,9.596
1759998202.6795945,16.595
1759998202.6795945,21.869
1759998202.728733,5.771
1759998202.728733,8.462
1759998202.728733,9.622
1759998202.728733,9.595
1759998202.728733,16.598
1759998202.728733,21.888
1759998202.7787035,5.772
1759998202.7787035,8.441
1759998202.7787035,9.624
1759998202.7787035,9.597
1759998202.7787035,16.597
1759998202.8282309,5.766
1759998202.8282309,9.627
1759998202.8282309,9.6
1759998202.8282309,16.588
1759998202.8282309,22.569
1759998202.8778105,5.771
1759998202.8778105,9.625
1759998202.8778105,9.599
1759998202.8778105,16.585
1759998202.9277363,5.77
1759998202.9277363,9.625
1759998202.9277363,9.598
1759998202.9277363,13.847
1759998202.9277363,16.581
1759998202.978051,5.769
1759998202.978051,9.629
1759998202.978051,9.601
1759998202.978051,16.592
1759998203.0279434,5.772
1759998203.0279434,9.626
1759998203.0279434,9.6
1759998203.0279434,16.587
1759998203.0779364,5.771
1759998203.0779364,9.626
1759998203.0779364,9.598
1759998203.0779364,16.599
1759998203.1281362,5.772
1759998203.1281362,9.624
1759998203.1281362,9.596
1759998203.1281362,16.599
1759998203.1784475,5.772
1759998203.1784475,9.623
1759998203.1784475,9.595
1759998203.1784475,16.596
1759998203.2284071,5.772
1759998203.2284071,9.623
1759998203.2284071,9.596
1759998203.2284071,16.596
1759998203.2780702,5.771
1759998203.2780702,9.623
1759998203.2780702,9.596
1759998203.2780702,16.592
1759998203.3280482,5.771
1759998203.3280482,9.623
1759998203.3280482,9.597
1759998203.3280482,16.588
1759998203.3280482,6.501
1759998203.3780005,5.77
1759998203.3780005,9.628
1759998203.3780005,9.601
1759998203.3780005,16.59
1759998203.3780005,6.53
1759998203.4277556,5.771
1759998203.4277556,9.622
1759998203.4277556,9.595
1759998203.4277556,16.594
1759998203.4277556,6.6
