timestamp,rcs
1759998202.3278694,-4.4
1759998202.3278694,-4.4
1759998202.3278694,-4.2
1759998202.3278694,-2.9
1759998202.3779845,-1.7
1759998202.3779845,-4.1
1759998202.3779845,-4.1
1759998202.3779845,-3.4
1759998202.4280326,-1.7
1759998202.4280326,-3.7
1759998202.4280326,-4.0
1759998202.4280326,-2.8
1759998202.4777617,-1.9
1759998202.4777617,-4.6
1759998202.4777617,-4.0
1759998202.4777617,-4.0
1759998202.4777617,-3.5
1759998202.5277555,-1.8
1759998202.5277555,-4.1
1759998202.5277555,-4.1
1759998202.5277555,0.3
1759998202.578016,-1.7
1759998202.578016,-4.3
1759998202.578016,-4.3
1759998202.578016,-1.3
1759998202.578016,-4.2
1759998202.6291487,-1.7
1759998202.6291487,-4.8
1759998202.6291487,-4.2
1759998202.6291487,-4.2
1759998202.6291487,-2.5
1759998202.6795945,-1.8
1759998202.6795945,-4.2
1759998202.6795945,-4.2
1759998202.6795945,-1.0
1759998202.6795945,-0.7
1759998202.728733,-1.7
1759998202.728733,-5.0
1759998202.728733,-4.3
1759998202.728733,-4.3
1759998202.728733,-1.1
1759998202.728733,0.4
1759998202.7787035,-1.7
1759998202.7787035,-4.6
1759998202.7787035,-4.4
1759998202.7787035,-4.4
1759998202.7787035,-1.6
1759998202.8282309,-1.7
1759998202.8282309,-4.4
1759998202.8282309,-4.4
1759998202.8282309,-2.8
1759998202.8282309,-0.4
1759998202.8778105,-1.7
1759998202.8778105,-4.2
1759998202.8778105,-4.2
1759998202.8778105,-3.6
1759998202.9277363,-1.8
1759998202.9277363,-3.8
1759998202.9277363,-3.8
1759998202.9277363,-2.3
1759998202.9277363,-2.6
1759998202.978051,-1.8
1759998202.978051,-3.8
1759998202.978051,-3.8
1759998202.978051,-1.1
1759998203.0279434,-1.8
1759998203.0279434,-3.6
1759998203.0279434,-3.6
1759998203.0279434,-2.2
1759998203.0779364,-1.9
1759998203.0779364,-3.7
1759998203.0779364,-3.7
1759998203.0779364,-1.0
1759998203.1281362,-1.9
1759998203.1281362,-3.8
1759998203.1281362,-3.8
1759998203.1281362,-3.7
1759998203.1784475,-1.9
1759998203.1784475,-3.6
1759998203.1784475,-3.6
1759998203.1784475,-2.1
1759998203.2284071,-1.9
1759998203.2284071,-3.9
1759998203.2284071,-3.9
1759998203.2284071,-3.5
1759998203.2780702,-1.9
1759998203.2780702,-3.9
1759998203.2780702,-3.9
1759998203.2780702,-3.8
1759998203.3280482,-1.9
1759998203.3280482,-3.7
1759998203.3280482,-3.7
1759998203.3280482,-3.3
1759998203.3280482,-2.4
1759998203.3780005,-1.9
1759998203.3780005,-3.7
1759998203.3780005,-3.7
1759998203.3780005,-3.7
1759998203.3780005,0.0
1759998203.4277556,-1.9
1759998203.4277556,-4.2
1759998203.4277556,-4.2
1759998203.4277556,-3.5
1759998203.4277556,-3.3
1759998203.4775581,-1.9
1759998203.4775581,-3.9
1759998203.4775581,-3.9
1759998203.4775581,-4.2
1759998203.4775581,-3.0
1759998203.527534,-1.9
1759998203.527534,-3.9
1759998203.527534,-3.9
1759998203.527534,-3.4
1759998203.5775185,-1.8
1759998203.5775185,-4.1
1759998203.5775185,-4.1
1759998203.5775185,-2.8
1759998203.6277518,-1.9
1759998203.6277518,-3.9
1759998203.6277518,-3.9
1759998203.6277518,-4.7
