timestamp,snr
1759998194.4292228,35.5
1759998194.4292228,28.1
1759998194.4794576,44.3
1759998194.4794576,35.3
1759998194.4794576,35.3
1759998194.4794576,27.8
1759998194.529035,44.3
1759998194.529035,35.4
1759998194.529035,35.4
1759998194.529035,27.9
1759998194.5786254,44.4
1759998194.5786254,35.5
1759998194.5786254,35.5
1759998194.5786254,28.1
1759998194.6285043,44.4
1759998194.6285043,35.4
1759998194.6285043,35.4
1759998194.6285043,27.8
1759998194.6785553,44.4
1759998194.6785553,35.7
1759998194.6785553,35.7
1759998194.6785553,28.1
1759998194.7288606,44.4
1759998194.7288606,35.5
1759998194.7288606,35.5
1759998194.7288606,28.0
1759998194.7788427,44.4
1759998194.7788427,35.2
1759998194.7788427,35.2
1759998194.7788427,28.2
1759998194.8303225,44.3
1759998194.8303225,35.4
1759998194.8303225,35.4
1759998194.8303225,28.0
1759998194.879792,44.4
1759998194.879792,35.5
1759998194.879792,35.5
1759998194.879792,28.4
1759998194.9289634,44.4
1759998194.9289634,35.8
1759998194.9289634,28.0
1759998194.979188,44.3
1759998194.979188,35.7
1759998194.979188,35.7
1759998194.979188,27.7
1759998195.028891,44.4
1759998195.028891,34.9
1759998195.028891,34.9
1759998195.028891,28.2
1759998195.0791981,44.4
1759998195.0791981,35.3
1759998195.0791981,35.3
1759998195.0791981,27.8
1759998195.1296728,44.4
1759998195.1296728,35.5
1759998195.1296728,35.5
1759998195.1296728,28.0
1759998195.1798055,44.5
1759998195.1798055,35.0
1759998195.1798055,35.0
1759998195.1798055,28.1
1759998195.2299838,44.6
1759998195.2299838,35.4
1759998195.2299838,35.4
1759998195.2299838,28.4
1759998195.2796082,44.4
1759998195.2796082,35.3
1759998195.2796082,35.3
1759998195.2796082,28.0
1759998195.3293083,44.4
1759998195.3293083,35.4
1759998195.3293083,35.4
1759998195.3293083,27.9
1759998195.3788836,44.4
1759998195.3788836,35.4
1759998195.3788836,35.4
1759998195.3788836,27.8
1759998195.4291673,44.5
1759998195.4291673,35.6
1759998195.4291673,35.6
1759998195.4291673,28.2
1759998195.479222,44.4
1759998195.479222,35.4
1759998195.479222,35.4
1759998195.479222,27.8
1759998195.5294816,44.4
1759998195.5294816,35.6
1759998195.5294816,35.6
1759998195.5294816,28.2
1759998195.5795417,44.4
1759998195.5795417,35.4
1759998195.5795417,35.4
1759998195.5795417,27.9
1759998195.6295362,44.2
1759998195.6295362,35.3
1759998195.6295362,35.3
1759998195.6295362,27.9
1759998195.679688,44.3
1759998195.679688,35.4
1759998195.679688,35.4
1759998195.679688,27.8
1759998195.729606,44.4
1759998195.729606,35.4
1759998195.729606,35.4
1759998195.729606,27.9
1759998195.7791846,44.3
1759998195.7791846,35.5
1759998195.7791846,35.5
1759998195.7791846,27.8
1759998195.828957,44.3
1759998195.828957,35.5
1759998195.828957,35.5
1759998195.828957,28.2
1759998195.8788743,44.3
1759998195.8788743,35.7
1759998195.8788743,35.7
1759998195.8788743,28.2
1759998195.9289746,44.3
1759998195.9289746,35.5
1759998195.9289746,35.5
1759998195.9289746,27.8
1759998195.9792361,44.3
1759998195.9792361,35.5
1759998195.9792361,35.5
1759998195.9792361,27.7
1759998196.0293531,44.3
1759998196.0293531,35.6
1759998196.0293531,35.6
1759998196.0293531,28.0
1759998196.0793185,44.4
1759998196.0793185,35.6
1759998196.0793185,35.6
1759998196.0793185,28.1
1759998196.1292157,44.3
1759998196.1292157,35.7
1759998196.1292157,35.7
1759998196.1292157,28.1
1759998196.1804159,44.3
1759998196.1804159,35.7
1759998196.1804159,35.7
1759998196.1804159,28.1
1759998196.2291327,44.4
1759998196.2291327,35.6
1759998196.2291327,35.6
1759998196.2291327,28.1
1759998196.279199,44.2
1759998196.279199,35.4
1759998196.279199,35.4
1759998196.279199,28.0
1759998196.328617,44.3
1759998196.328617,35.7
1759998196.328617,35.7
1759998196.328617,28.2
1759998196.3781695,44.4
1759998196.3781695,35.6
1759998196.3781695,35.6
1759998196.3781695,27.9
1759998196.4285014,44.3
1759998196.4285014,35.4
1759998196.4285014,35.4
1759998196.4285014,27.9
1759998196.4780629,44.2
1759998196.4780629,35.4
1759998196.4780629,35.4
1759998196.4780629,28.1
1759998196.5279698,44.4
1759998196.5279698,35.5
1759998196.5279698,35.5
1759998196.5279698,28.1
1759998196.5780969,44.4
1759998196.5780969,35.4
1759998196.5780969,35.4
1759998196.5780969,27.8
1759998196.6282887,44.5
1759998196.6282887,35.7
1759998196.6282887,35.7
1759998196.6282887,28.2
1759998196.6781414,44.3
1759998196.6781414,35.4
1759998196.6781414,35.4
1759998196.6781414,27.9
1759998196.7281508,44.3
1759998196.7281508,35.5
1759998196.7281508,35.5
1759998196.7281508,28.2
1759998196.778931,44.4
1759998196.778931,35.5
1759998196.778931,35.5
1759998196.778931,28.2
1759998196.8296301,44.5
1759998196.8296301,35.7
1759998196.8296301,35.7
1759998196.8296301,28.2
1759998196.8792028,44.4
1759998196.8792028,35.5
1759998196.8792028,35.5
1759998196.8792028,28.1
1759998196.9295378,44.4
1759998196.9295378,35.5
1759998196.9295378,35.5
1759998196.9295378,28.1
1759998196.9799707,44.4
1759998196.9799707,35.5
1759998196.9799707,35.5
1759998196.9799707,27.9
1759998197.0296242,44.5
1759998197.0296242,35.7
1759998197.0296242,35.7
1759998197.0296242,28.2
1759998197.0791745,44.6
1759998197.0791745,36.0
1759998197.0791745,36.0
1759998197.0791745,28.1
1759998197.1294086,44.3
1759998197.1294086,35.6
1759998197.1294086,35.6
1759998197.1294086,28.3
1759998197.1791062,44.2
1759998197.1791062,35.4
1759998197.1791062,35.4
1759998197.1791062,27.6
1759998197.2289917,44.5
1759998197.2289917,35.6
1759998197.2289917,35.6
1759998197.2289917,27.9
1759998197.278512,44.3
1759998197.278512,35.5
1759998197.278512,35.5
1759998197.278512,28.2
1759998197.328562,44.3
1759998197.328562,35.5
1759998197.328562,35.5
1759998197.328562,28.0
1759998197.3784854,44.2
1759998197.3784854,35.5
1759998197.3784854,35.5
1759998197.3784854,27.9
1759998197.4281309,44.3
1759998197.4281309,35.7
1759998197.4281309,35.7
1759998197.4281309,27.7
1759998197.4800062,44.3
1759998197.4800062,35.4
1759998197.4800062,35.4
1759998197.4800062,27.9
1759998197.5283782,44.3
1759998197.5283782,35.6
1759998197.5283782,35.6
1759998197.5283782,28.0
1759998197.5780478,44.4
1759998197.5780478,35.3
1759998197.5780478,35.3
1759998197.5780478,28.0
1759998197.6281307,44.2
1759998197.6281307,35.3
1759998197.6281307,35.3
1759998197.6281307,28.0
1759998197.6780372,44.4
1759998197.6780372,35.2
1759998197.6780372,35.2
1759998197.6780372,28.0
1759998197.7278907,44.3
1759998197.7278907,35.4
1759998197.7278907,35.4
1759998197.7278907,28.1
1759998197.778172,44.2
1759998197.778172,35.1
1759998197.778172,35.1
1759998197.778172,27.7
1759998197.8280227,44.5
1759998197.8280227,35.4
1759998197.8280227,35.4
1759998197.8280227,28.0
1759998197.8779416,44.5
1759998197.8779416,35.0
1759998197.8779416,35.0
1759998197.8779416,27.8
1759998197.9281685,44.5
1759998197.9281685,35.1
1759998197.9281685,35.1
1759998197.9281685,28.1
1759998197.9781327,44.2
1759998197.9781327,35.2
1759998197.9781327,35.2
1759998197.9781327,28.0
1759998198.0280006,44.2
1759998198.0280006,35.1
1759998198.0280006,35.1
1759998198.0280006,28.2
1759998198.0780594,44.2
1759998198.0780594,35.0
1759998198.0780594,35.0
1759998198.0780594,27.8
1759998198.128304,44.3
1759998198.128304,35.0
1759998198.128304,35.0
1759998198.128304,28.1
1759998198.1783047,44.4
1759998198.1783047,35.1
1759998198.1783047,35.1
1759998198.1783047,28.2
1759998198.2283213,44.3
1759998198.2283213,35.2
1759998198.2283213,35.2
1759998198.2283213,28.0
1759998198.2783835,44.1
1759998198.2783835,35.8
1759998198.2783835,35.8
1759998198.2783835,27.8
1759998198.2783835,39.1
1759998198.3282092,44.1
1759998198.3282092,35.6
1759998198.3282092,35.6
1759998198.3282092,27.4
1759998198.3781705,28.0
1759998198.4281633,46.3
1759998198.4281633,26.7
1759998198.4780638,43.7
1759998198.4780638,35.1
1759998198.4780638,35.1
1759998198.4780638,28.7
1759998198.4780638,40.9
1759998198.5275035,28.6
1759998198.5275035,42.4
1759998198.5275035,43.2
1759998198.5275035,36.8
1759998198.5275035,36.8
1759998198.5780766,27.5
1759998198.5780766,38.5
1759998198.627553,37.3
1759998198.627553,43.3
1759998198.6771696,39.5
1759998198.7774498,44.5
1759998198.7774498,43.8
1759998198.7774498,43.8
1759998198.8764615,45.1
1759998198.8764615,41.5
1759998198.8764615,41.5
1759998198.9762537,44.7
1759998199.0766544,46.3
1759998199.0766544,44.5
1759998199.1268532,45.0
1759998199.1767316,41.9
1759998199.2762127,44.6
1759998199.2762127,44.6
1759998199.426487,47.1
1759998199.5273192,47.6
1759998199.6771154,48.5
1759998199.7271626,45.6
1759998199.7271626,48.4
1759998199.7271626,48.4
1759998199.776704,45.5
1759998199.776704,43.9
1759998199.8267474,43.9
1759998199.977017,44.8
1759998199.977017,44.8
1759998200.177352,44.9
1759998200.177352,44.9
1759998200.2267082,47.5
1759998200.3276896,25.2
1759998200.3276896,46.6
1759998200.4769738,47.3
1759998200.6280465,43.9
1759998200.6280465,45.1
1759998200.6280465,45.1
1759998200.6776617,31.4
1759998200.7280478,44.0
1759998200.7773614,34.7
1759998200.8272166,42.8
1759998200.876933,35.2
1759998200.9273355,45.2
1759998200.9273355,34.4
1759998200.977459,45.4
1759998200.977459,36.0
1759998200.977459,36.0
1759998201.0270035,45.2
1759998201.0270035,35.9
1759998201.0772142,44.8
1759998201.0772142,35.0
1759998201.0772142,35.0
1759998201.0772142,27.1
1759998201.0772142,44.1
1759998201.127374,36.5
1759998201.127374,34.9
1759998201.127374,34.9
1759998201.177813,44.9
1759998201.177813,35.8
1759998201.177813,35.8
1759998201.177813,27.4
1759998201.177813,48.0
1759998201.227725,44.3
1759998201.227725,37.1
1759998201.227725,46.9
1759998201.2772353,43.3
1759998201.2772353,37.8
1759998201.2772353,37.8
1759998201.2772353,45.3
1759998201.3274837,44.3
1759998201.3274837,37.2
1759998201.3274837,37.2
1759998201.3774235,43.5
1759998201.3774235,36.5
1759998201.3774235,36.5
1759998201.3774235,27.1
1759998201.4273722,45.5
1759998201.4273722,36.6
1759998201.4273722,36.6
1759998201.4776242,45.2
1759998201.4776242,36.1
1759998201.4776242,36.1
1759998201.4776242,30.0
1759998201.4776242,44.5
1759998201.5273607,44.3
1759998201.5273607,36.7
1759998201.5273607,36.7
1759998201.5273607,25.7
1759998201.5273607,48.0
1759998201.5774608,44.4
1759998201.5774608,37.0
1759998201.5774608,37.0
1759998201.5774608,37.0
1759998201.5774608,46.7
1759998201.6275065,45.2
1759998201.6275065,37.1
1759998201.6275065,37.1
1759998201.6275065,25.3
1759998201.6772838,44.7
1759998201.6772838,37.1
1759998201.6772838,37.1
1759998201.6772838,45.3
1759998201.727377,44.3
1759998201.727377,36.3
1759998201.727377,36.9
1759998201.727377,36.9
1759998201.727377,46.9
1759998201.7776494,44.0
1759998201.7776494,36.8
1759998201.7776494,36.8
1759998201.7776494,46.1
1759998201.8276327,44.7
1759998201.8276327,35.2
1759998201.8276327,35.2
1759998201.8276327,28.1
1759998201.8276327,27.7
1759998201.8276327,44.8
1759998201.8776326,44.7
1759998201.8776326,46.6
1759998201.928217,44.9
1759998201.928217,36.0
1759998201.928217,36.0
1759998201.977781,44.5
1759998201.977781,36.0
1759998201.977781,45.5
1759998202.0277295,44.4
1759998202.0277295,34.5
1759998202.0277295,34.5
1759998202.0277295,32.6
1759998202.0777385,44.6
1759998202.0777385,34.8
1759998202.0777385,34.8
1759998202.1281266,44.2
1759998202.1281266,35.7
1759998202.1281266,35.7
1759998202.178139,44.5
1759998202.178139,35.0
1759998202.178139,35.0
1759998202.228143,44.4
1759998202.228143,35.4
1759998202.228143,35.4
1759998202.2778563,44.4
1759998202.2778563,35.7
1759998202.2778563,35.7
1759998202.3278694,44.5
1759998202.3278694,35.0
1759998202.3278694,35.0
1759998202.3278694,27.2
1759998202.3278694,44.4
1759998202.3779845,44.7
1759998202.3779845,35.3
1759998202.3779845,35.3
1759998202.3779845,28.1
1759998202.4280326,44.5
1759998202.4280326,35.6
1759998202.4280326,27.3
1759998202.4280326,44.1
1759998202.4777617,44.5
1759998202.4777617,36.5
1759998202.4777617,35.4
1759998202.4777617,35.4
1759998202.4777617,28.0
1759998202.5277555,44.6
1759998202.5277555,35.2
1759998202.5277555,35.2
1759998202.5277555,31.8
1759998202.578016,44.7
1759998202.578016,35.2
1759998202.578016,35.2
1759998202.578016,30.3
1759998202.578016,42.5
1759998202.6291487,44.7
1759998202.6291487,36.3
1759998202.6291487,35.3
1759998202.6291487,35.3
1759998202.6291487,29.0
1759998202.6795945,44.6
1759998202.6795945,35.3
1759998202.6795945,35.3
1759998202.6795945,30.5
1759998202.6795945,26.6
1759998202.728733,44.7
1759998202.728733,36.0
1759998202.728733,35.1
1759998202.728733,35.1
1759998202.728733,30.3
1759998202.728733,27.7
1759998202.7787035,44.7
1759998202.7787035,36.5
1759998202.7787035,35.0
1759998202.7787035,35.0
1759998202.7787035,29.9
1759998202.8282309,44.7
1759998202.8282309,35.1
1759998202.8282309,35.1
1759998202.8282309,28.7
1759998202.8282309,26.5
1759998202.8778105,44.6
1759998202.8778105,35.1
1759998202.8778105,35.1
1759998202.8778105,27.8
1759998202.9277363,44.5
1759998202.9277363,35.5
1759998202.9277363,35.5
1759998202.9277363,31.7
1759998202.9277363,28.8
1759998202.978051,44.6
1759998202.978051,35.5
1759998202.978051,35.5
1759998202.978051,30.3
1759998203.0279434,44.4
1759998203.0279434,35.7
1759998203.0279434,35.7
1759998203.0279434,29.1
1759998203.0779364,44.6
1759998203.0779364,35.7
1759998203.0779364,35.7
1759998203.0779364,30.5
1759998203.1281362,44.6
1759998203.1281362,35.7
1759998203.1281362,35.7
1759998203.1281362,27.9
1759998203.1784475,44.4
1759998203.1784475,35.7
1759998203.1784475,35.7
1759998203.1784475,29.3
1759998203.2284071,44.5
1759998203.2284071,35.5
1759998203.2284071,35.5
1759998203.2284071,28.0
1759998203.2780702,44.5
1759998203.2780702,35.4
1759998203.2780702,35.4
1759998203.2780702,27.7
1759998203.3280482,44.4
