timestamp,y
1759998196.1804159,-0.823
1759998196.1804159,0.242
1759998196.2291327,0.37
1759998196.2291327,0.093
1759998196.2291327,-0.824
1759998196.2291327,0.242
1759998196.279199,0.369
1759998196.279199,0.093
1759998196.279199,-0.823
1759998196.279199,0.243
1759998196.328617,0.369
1759998196.328617,0.093
1759998196.328617,-0.823
1759998196.328617,0.242
1759998196.3781695,0.369
1759998196.3781695,0.093
1759998196.3781695,-0.823
1759998196.3781695,0.245
1759998196.4285014,0.369
1759998196.4285014,0.093
1759998196.4285014,-0.822
1759998196.4285014,0.241
1759998196.4780629,0.369
1759998196.4780629,0.093
1759998196.4780629,-0.822
1759998196.4780629,0.245
1759998196.5279698,0.369
1759998196.5279698,0.093
1759998196.5279698,-0.823
1759998196.5279698,0.243
1759998196.5780969,0.369
1759998196.5780969,0.093
1759998196.5780969,-0.822
1759998196.5780969,0.244
1759998196.6282887,0.369
1759998196.6282887,0.093
1759998196.6282887,-0.82
1759998196.6282887,0.243
1759998196.6781414,0.369
1759998196.6781414,0.094
1759998196.6781414,-0.821
1759998196.6781414,0.242
1759998196.7281508,0.369
1759998196.7281508,0.093
1759998196.7281508,-0.822
1759998196.7281508,0.241
1759998196.778931,0.369
1759998196.778931,0.093
1759998196.778931,-0.821
1759998196.778931,0.244
1759998196.8296301,0.369
1759998196.8296301,0.094
1759998196.8296301,-0.821
1759998196.8296301,0.242
1759998196.8792028,0.369
1759998196.8792028,0.094
1759998196.8792028,-0.822
1759998196.8792028,0.243
1759998196.9295378,0.369
1759998196.9295378,0.093
1759998196.9295378,-0.821
1759998196.9295378,0.241
1759998196.9799707,0.369
1759998196.9799707,0.092
1759998196.9799707,-0.822
1759998196.9799707,0.246
1759998197.0296242,0.369
1759998197.0296242,0.092
1759998197.0296242,-0.821
1759998197.0296242,0.241
1759998197.0791745,0.369
1759998197.0791745,0.093
1759998197.0791745,-0.821
1759998197.0791745,0.24
1759998197.1294086,0.369
1759998197.1294086,0.093
1759998197.1294086,-0.821
1759998197.1294086,0.244
1759998197.1791062,0.369
1759998197.1791062,0.093
1759998197.1791062,-0.82
1759998197.1791062,0.242
1759998197.2289917,0.37
1759998197.2289917,0.094
1759998197.2289917,-0.821
1759998197.2289917,0.243
1759998197.278512,0.369
1759998197.278512,0.093
1759998197.278512,-0.82
1759998197.278512,0.244
1759998197.328562,0.37
1759998197.328562,0.094
1759998197.328562,-0.821
1759998197.328562,0.246
1759998197.3784854,0.37
1759998197.3784854,0.094
1759998197.3784854,-0.822
1759998197.3784854,0.245
1759998197.4281309,0.37
1759998197.4281309,0.093
1759998197.4281309,-0.822
1759998197.4281309,0.245
1759998197.4800062,0.37
1759998197.4800062,0.095
1759998197.4800062,-0.822
1759998197.4800062,0.245
1759998197.5283782,0.371
1759998197.5283782,0.096
1759998197.5283782,-0.822
1759998197.5283782,0.243
1759998197.5780478,0.37
1759998197.5780478,0.094
1759998197.5780478,-0.823
1759998197.5780478,0.243
1759998197.6281307,0.37
1759998197.6281307,0.094
1759998197.6281307,-0.822
1759998197.6281307,0.244
1759998197.6780372,0.37
1759998197.6780372,0.094
1759998197.6780372,-0.821
1759998197.6780372,0.244
1759998197.7278907,0.37
1759998197.7278907,0.094
1759998197.7278907,-0.822
1759998197.7278907,0.242
1759998197.778172,0.368
1759998197.778172,0.093
1759998197.778172,-0.823
1759998197.778172,0.244
1759998197.8280227,0.369
1759998197.8280227,0.093
1759998197.8280227,-0.822
1759998197.8280227,0.242
1759998197.8779416,0.369
1759998197.8779416,0.091
1759998197.8779416,-0.823
1759998197.8779416,0.244
1759998197.9281685,0.369
1759998197.9281685,0.092
1759998197.9281685,-0.822
1759998197.9281685,0.245
1759998197.9781327,0.37
1759998197.9781327,0.093
1759998197.9781327,-0.823
1759998197.9781327,0.244
1759998198.0280006,0.37
1759998198.0280006,0.092
1759998198.0280006,-0.824
1759998198.0280006,0.245
1759998198.0780594,0.37
1759998198.0780594,0.093
1759998198.0780594,-0.824
1759998198.0780594,0.241
1759998198.128304,0.37
1759998198.128304,0.092
1759998198.128304,-0.824
1759998198.128304,0.244
1759998198.1783047,0.37
1759998198.1783047,0.095
1759998198.1783047,-0.822
1759998198.1783047,0.241
1759998198.2283213,0.371
1759998198.2283213,0.092
1759998198.2283213,-0.821
1759998198.2283213,0.24
1759998198.2783835,0.372
1759998198.2783835,0.09
1759998198.2783835,-0.826
1759998198.2783835,0.242
1759998198.2783835,0.394
1759998198.3282092,0.366
1759998198.3282092,0.101
1759998198.3282092,-0.819
1759998198.3282092,0.241
1759998198.3781705,0.253
1759998198.4281633,0.383
1759998198.4281633,0.229
1759998198.4780638,0.418
1759998198.4780638,0.115
1759998198.4780638,-0.816
1759998198.4780638,0.273
1759998198.4780638,0.241
1759998198.5275035,0.271
1759998198.5275035,0.263
1759998198.5275035,0.173
1759998198.5275035,0.127
1759998198.5275035,-0.85
1759998198.5780766,0.186
1759998198.5780766,0.13
1759998198.627553,-1.123
1759998198.627553,0.277
1759998198.6771696,0.26
1759998198.7774498,0.097
1759998198.7774498,0.173
1759998198.7774498,0.098
1759998198.8764615,0.298
1759998198.8764615,0.128
1759998198.8764615,0.003
1759998198.9762537,0.09
1759998199.0766544,0.225
